gesture_id,person_id,session_id,run_path,include,notes
A,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\A\runs\run_20260926_145945_409733_p14120,true,fold=S2_LOBO/background_WHITE; images=25
A,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\A\runs\run_20260926_145947_973838_p25540,true,fold=S2_LOBO/background_WHITE; images=25
A,P02,BLACK,..\..\..\..\data\tsgr_dataset\training\P02\BLACK\A\runs\run_20260926_145952_975148_p13588,true,fold=S2_LOBO/background_WHITE; images=25
A,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\A\runs\run_20260926_145955_461251_p11480,true,fold=S2_LOBO/background_WHITE; images=25
A,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\A\runs\run_20260926_150000_229977_p18060,true,fold=S2_LOBO/background_WHITE; images=25
A,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\A\runs\run_20260926_150002_740564_p27596,true,fold=S2_LOBO/background_WHITE; images=25
A,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\A\runs\run_20260926_150007_371647_p20916,true,fold=S2_LOBO/background_WHITE; images=25
A,P04,BLUE,..\..\..\..\data\tsgr_dataset\training\P04\BLUE\A\runs\run_20260926_150009_593749_p18804,true,fold=S2_LOBO/background_WHITE; images=25
A,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\A\runs\run_20260926_150014_050387_p14644,true,fold=S2_LOBO/background_WHITE; images=25
A,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\A\runs\run_20260926_150016_247908_p3148,true,fold=S2_LOBO/background_WHITE; images=25
B,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\B\runs\run_20260926_145945_444235_p25540,true,fold=S2_LOBO/background_WHITE; images=25
B,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\B\runs\run_20260926_145947_970838_p27064,true,fold=S2_LOBO/background_WHITE; images=25
B,P02,BLACK,..\..\..\..\data\tsgr_dataset\training\P02\BLACK\B\runs\run_20260926_145952_974147_p11480,true,fold=S2_LOBO/background_WHITE; images=25
B,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\B\runs\run_20260926_145955_409252_p8564,true,fold=S2_LOBO/background_WHITE; images=25
B,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\B\runs\run_20260926_150000_243477_p27596,true,fold=S2_LOBO/background_WHITE; images=25
B,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\B\runs\run_20260926_150002_741064_p26772,true,fold=S2_LOBO/background_WHITE; images=25
B,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\B\runs\run_20260926_150007_373647_p18804,true,fold=S2_LOBO/background_WHITE; images=25
B,P04,BLUE,..\..\..\..\data\tsgr_dataset\training\P04\BLUE\B\runs\run_20260926_150009_587749_p12404,true,fold=S2_LOBO/background_WHITE; images=25
B,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\B\runs\run_20260926_150014_039386_p3148,true,fold=S2_LOBO/background_WHITE; images=25
B,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\B\runs\run_20260926_150016_237408_p26832,true,fold=S2_LOBO/background_WHITE; images=25
