gesture_id,person_id,session_id,run_path,include,notes
A,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\A\runs\run_20260926_145945_409733_p14120,true,fold=S3_LOSO/subject_P04; images=25
A,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\A\runs\run_20260926_145947_973838_p25540,true,fold=S3_LOSO/subject_P04; images=25
A,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\A\runs\run_20260926_145950_462027_p27064,true,fold=S3_LOSO/subject_P04; images=25
A,P02,BLACK,..\..\..\..\data\tsgr_dataset\training\P02\BLACK\A\runs\run_20260926_145952_975148_p13588,true,fold=S3_LOSO/subject_P04; images=25
A,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\A\runs\run_20260926_145955_461251_p11480,true,fold=S3_LOSO/subject_P04; images=25
A,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\A\runs\run_20260926_145957_776358_p8564,true,fold=S3_LOSO/subject_P04; images=25
A,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\A\runs\run_20260926_150000_229977_p18060,true,fold=S3_LOSO/subject_P04; images=25
A,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\A\runs\run_20260926_150002_740564_p27596,true,fold=S3_LOSO/subject_P04; images=25
A,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\A\runs\run_20260926_150005_126591_p26772,true,fold=S3_LOSO/subject_P04; images=25
A,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\A\runs\run_20260926_150014_050387_p14644,true,fold=S3_LOSO/subject_P04; images=25
A,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\A\runs\run_20260926_150016_247908_p3148,true,fold=S3_LOSO/subject_P04; images=25
A,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\A\runs\run_20260926_150018_510961_p26832,true,fold=S3_LOSO/subject_P04; images=25
