gesture_id,person_id,session_id,run_path,include,notes
A,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\A\runs\run_20260926_145945_409733_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
A,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\A\runs\run_20260926_145950_462027_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
A,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\A\runs\run_20260926_150000_229977_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
A,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\A\runs\run_20260926_150005_126591_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
A,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\A\runs\run_20260926_150007_371647_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
A,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\A\runs\run_20260926_150011_825316_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
A,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\A\runs\run_20260926_150014_050387_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
A,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\A\runs\run_20260926_150018_510961_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\B\runs\run_20260926_145945_444235_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\B\runs\run_20260926_145950_459027_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\B\runs\run_20260926_150000_243477_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\B\runs\run_20260926_150005_118591_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\B\runs\run_20260926_150007_373647_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\B\runs\run_20260926_150011_829316_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\B\runs\run_20260926_150014_039386_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
B,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\B\runs\run_20260926_150018_511461_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\C\runs\run_20260926_145945_446736_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\C\runs\run_20260926_145950_464527_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\C\runs\run_20260926_150000_241978_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\C\runs\run_20260926_150005_128592_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\C\runs\run_20260926_150007_379648_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\C\runs\run_20260926_150011_822315_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\C\runs\run_20260926_150014_039386_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
C,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\C\runs\run_20260926_150020_842945_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\E\runs\run_20260926_145945_448234_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\E\runs\run_20260926_145950_466527_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\E\runs\run_20260926_150000_239477_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\E\runs\run_20260926_150005_126591_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\E\runs\run_20260926_150007_380648_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\E\runs\run_20260926_150011_828816_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\E\runs\run_20260926_150014_039886_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
E,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\E\runs\run_20260926_150020_852446_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\I\runs\run_20260926_145945_444735_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\I\runs\run_20260926_145950_466026_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\I\runs\run_20260926_150000_242478_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\I\runs\run_20260926_150005_118591_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\I\runs\run_20260926_150007_381148_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\I\runs\run_20260926_150011_828816_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\I\runs\run_20260926_150016_248408_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
I,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\I\runs\run_20260926_150020_853946_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\L\runs\run_20260926_145945_443736_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\L\runs\run_20260926_145950_464527_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\L\runs\run_20260926_150000_240478_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\L\runs\run_20260926_150005_127591_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\L\runs\run_20260926_150007_380648_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\L\runs\run_20260926_150014_052887_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\L\runs\run_20260926_150016_246908_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
L,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\L\runs\run_20260926_150020_852945_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\M\runs\run_20260926_145945_441237_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\M\runs\run_20260926_145950_455527_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\M\runs\run_20260926_150000_243477_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\M\runs\run_20260926_150005_129092_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\M\runs\run_20260926_150007_371647_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\M\runs\run_20260926_150014_052386_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\M\runs\run_20260926_150016_239409_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
M,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\M\runs\run_20260926_150020_854446_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\N\runs\run_20260926_145945_437734_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\N\runs\run_20260926_145950_459527_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\N\runs\run_20260926_150000_240977_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\N\runs\run_20260926_150005_125090_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\N\runs\run_20260926_150009_615251_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\N\runs\run_20260926_150014_049888_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\N\runs\run_20260926_150016_239909_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
N,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\N\runs\run_20260926_150020_853447_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\O\runs\run_20260926_145945_441736_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\O\runs\run_20260926_145950_457027_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\O\runs\run_20260926_150000_242478_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\O\runs\run_20260926_150007_371147_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\O\runs\run_20260926_150009_599250_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\O\runs\run_20260926_150014_052386_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\O\runs\run_20260926_150016_247908_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
O,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\O\runs\run_20260926_150020_853946_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\P\runs\run_20260926_145945_409733_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\P\runs\run_20260926_145950_458527_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\P\runs\run_20260926_150000_231978_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\P\runs\run_20260926_150007_380149_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\P\runs\run_20260926_150009_589749_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\P\runs\run_20260926_150014_039386_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\P\runs\run_20260926_150016_247409_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
P,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\P\runs\run_20260926_150020_842945_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
R,P01,BLACK,..\..\..\..\data\tsgr_dataset\training\P01\BLACK\R\runs\run_20260926_145945_436734_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
R,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\R\runs\run_20260926_145950_465526_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
R,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\R\runs\run_20260926_150002_749064_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P02__background_BLUE; images=25
