gesture_id,person_id,session_id,run_path,include,notes
A,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\A\runs\run_20260926_145947_973838_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
A,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\A\runs\run_20260926_145950_462027_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
A,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\A\runs\run_20260926_145955_461251_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
A,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\A\runs\run_20260926_145957_776358_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
A,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\A\runs\run_20260926_150002_740564_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
A,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\A\runs\run_20260926_150005_126591_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
A,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\A\runs\run_20260926_150016_247908_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
A,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\A\runs\run_20260926_150018_510961_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\B\runs\run_20260926_145947_970838_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\B\runs\run_20260926_145950_459027_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\B\runs\run_20260926_145955_409252_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\B\runs\run_20260926_145957_777358_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\B\runs\run_20260926_150002_741064_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\B\runs\run_20260926_150005_118591_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\B\runs\run_20260926_150016_237408_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
B,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\B\runs\run_20260926_150018_511461_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\C\runs\run_20260926_145947_982338_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\C\runs\run_20260926_145950_464527_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\C\runs\run_20260926_145955_455752_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\C\runs\run_20260926_145957_775858_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\C\runs\run_20260926_150002_738064_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\C\runs\run_20260926_150005_128592_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\C\runs\run_20260926_150016_237907_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
C,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\C\runs\run_20260926_150020_842945_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\E\runs\run_20260926_145947_972838_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\E\runs\run_20260926_145950_466527_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\E\runs\run_20260926_145955_456252_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\E\runs\run_20260926_145957_776358_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\E\runs\run_20260926_150002_748563_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\E\runs\run_20260926_150005_126591_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\E\runs\run_20260926_150018_509461_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
E,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\E\runs\run_20260926_150020_852446_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\I\runs\run_20260926_145947_983838_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\I\runs\run_20260926_145950_466026_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\I\runs\run_20260926_145955_410251_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\I\runs\run_20260926_145957_774356_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\I\runs\run_20260926_150002_744564_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\I\runs\run_20260926_150005_118591_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\I\runs\run_20260926_150018_502460_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
I,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\I\runs\run_20260926_150020_853946_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\L\runs\run_20260926_145947_973838_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\L\runs\run_20260926_145950_464527_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\L\runs\run_20260926_145955_462750_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\L\runs\run_20260926_145957_786358_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\L\runs\run_20260926_150002_738565_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\L\runs\run_20260926_150005_127591_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
