gesture_id,public_subject_id,background,run_found,run_path
A,P01,BLACK,1,training/P01/BLACK/A/runs/run_20260926_145945_409733_p14120
A,P01,BLUE,1,training/P01/BLUE/A/runs/run_20260926_145947_973838_p25540
A,P01,WHITE,1,training/P01/WHITE/A/runs/run_20260926_145950_462027_p27064
A,P02,BLACK,1,training/P02/BLACK/A/runs/run_20260926_145952_975148_p13588
A,P02,BLUE,1,training/P02/BLUE/A/runs/run_20260926_145955_461251_p11480
A,P02,WHITE,1,training/P02/WHITE/A/runs/run_20260926_145957_776358_p8564
A,P03,BLACK,1,training/P03/BLACK/A/runs/run_20260926_150000_229977_p18060
A,P03,BLUE,1,training/P03/BLUE/A/runs/run_20260926_150002_740564_p27596
A,P03,WHITE,1,training/P03/WHITE/A/runs/run_20260926_150005_126591_p26772
A,P04,BLACK,1,training/P04/BLACK/A/runs/run_20260926_150007_371647_p20916
A,P04,BLUE,1,training/P04/BLUE/A/runs/run_20260926_150009_593749_p18804
A,P04,WHITE,1,training/P04/WHITE/A/runs/run_20260926_150011_825316_p12404
A,P05,BLACK,1,training/P05/BLACK/A/runs/run_20260926_150014_050387_p14644
A,P05,BLUE,1,training/P05/BLUE/A/runs/run_20260926_150016_247908_p3148
A,P05,WHITE,1,training/P05/WHITE/A/runs/run_20260926_150018_510961_p26832
B,P01,BLACK,1,training/P01/BLACK/B/runs/run_20260926_145945_444235_p25540
B,P01,BLUE,1,training/P01/BLUE/B/runs/run_20260926_145947_970838_p27064
B,P01,WHITE,1,training/P01/WHITE/B/runs/run_20260926_145950_459027_p13588
B,P02,BLACK,1,training/P02/BLACK/B/runs/run_20260926_145952_974147_p11480
B,P02,BLUE,1,training/P02/BLUE/B/runs/run_20260926_145955_409252_p8564
B,P02,WHITE,1,training/P02/WHITE/B/runs/run_20260926_145957_777358_p18060
B,P03,BLACK,1,training/P03/BLACK/B/runs/run_20260926_150000_243477_p27596
