aggregation_level,take_count,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames_mean,gesture_duration_frames_median,gesture_duration_frames_std,gesture_duration_frames_q1,gesture_duration_frames_q3,gesture_duration_frames_min,gesture_duration_frames_max,gesture_duration_s_mean,gesture_duration_s_median,gesture_duration_s_std,gesture_duration_s_q1,gesture_duration_s_q3,gesture_duration_s_min,gesture_duration_s_max,public_subject_id,background,gesture_id
global,2550,414456,414456,140408,273871,177,0,0.33877661319898855,0.660796320960488,0.0004270658405234814,55.061960784313726,54.0,11.464038134085731,48.0,62.0,14.0,105.0,2.7530980392156863,2.7,0.5732019067042866,2.4,3.1,0.7,5.25,,,
subject,510,85397,85397,26591,58795,11,0,0.3113809618604869,0.6884902279939576,0.00012881014555546447,52.13921568627451,52.0,6.5090409673684775,48.0,56.0,25.0,98.0,2.606960784313726,2.6,0.32545204836842384,2.4,2.8,1.25,4.9,P01,,
subject,510,83953,83953,29358,54549,46,0,0.34969566304956345,0.6497564113253844,0.0005479256250521125,57.56470588235294,57.0,10.6442163294873,50.0,65.0,21.0,92.0,2.8782352941176472,2.85,0.5322108164743649,2.5,3.25,1.05,4.6,P02,,
subject,510,85270,85270,25971,59199,100,0,0.30457370704819986,0.6942535475548258,0.001172745396974317,50.923529411764704,51.0,8.019869437210275,46.0,56.0,26.0,74.0,2.546176470588235,2.55,0.4009934718605138,2.3,2.8,1.3,3.7,P03,,
subject,510,74469,74469,26380,48069,20,0,0.35424136217755037,0.6454900696934295,0.00026856812902012917,51.72549019607843,50.0,16.137399277971703,40.0,62.75,14.0,105.0,2.5862745098039217,2.5,0.8068699638985852,2.0,3.1375,0.7,5.25,P04,,
subject,510,85367,85367,32108,53259,0,0,0.37611723499713,0.62388276500287,0.0,62.956862745098036,63.0,8.494196676066185,57.0,69.0,36.0,92.0,3.147843137254902,3.15,0.42470983380330923,2.85,3.45,1.8,4.6,P05,,
background,850,132799,132799,45590,87191,18,0,0.34330077786730323,0.6565636789433655,0.00013554318933124498,53.63529411764706,53.0,9.167139371673295,48.0,59.0,14.0,90.0,2.681764705882353,2.65,0.4583569685836648,2.4,2.95,0.7,4.5,,BLACK,
background,850,130906,130906,42638,88154,114,0,0.32571463492888025,0.6734145111759583,0.0008708538951614135,50.16235294117647,50.0,11.294202276294397,43.0,57.0,15.0,98.0,2.508117647058824,2.5,0.5647101138147198,2.15,2.85,0.75,4.9,,BLUE,
background,850,150751,150751,52180,98526,45,0,0.3461336906554517,0.6535678038619976,0.0002985054825506962,61.38823529411765,61.0,10.80951258166481,54.0,68.0,24.0,105.0,3.0694117647058823,3.05,0.5404756290832405,2.7,3.4,1.2,5.25,,WHITE,
gesture,150,24092,24092,7886,16187,19,0,0.3273285738004317,0.6718827826664453,0.0007886435331230284,52.57333333333333,53.0,10.130919293285746,47.0,58.0,26.0,92.0,2.628666666666667,2.65,0.5065459646642873,2.35,2.9,1.3,4.6,,,A
