take_id,public_subject_id,background,gesture_id,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames,gesture_duration_s,fps
P01_BLACK_A_take_0001,P01,BLACK,A,157,157,49,108,0,0,0.31210191082802546,0.6878980891719745,0.0,49,2.45,20.0
P01_BLACK_A_take_0002,P01,BLACK,A,156,156,54,102,0,0,0.34615384615384615,0.6538461538461539,0.0,54,2.7,20.0
P01_BLACK_A_take_0003,P01,BLACK,A,161,161,55,106,0,0,0.3416149068322981,0.6583850931677019,0.0,55,2.75,20.0
P01_BLACK_A_take_0004,P01,BLACK,A,155,155,49,106,0,0,0.3161290322580645,0.6838709677419355,0.0,49,2.45,20.0
P01_BLACK_A_take_0005,P01,BLACK,A,155,155,50,105,0,0,0.3225806451612903,0.6774193548387096,0.0,50,2.5,20.0
P01_BLACK_A_take_0006,P01,BLACK,A,160,160,56,104,0,0,0.35,0.65,0.0,56,2.8,20.0
P01_BLACK_A_take_0007,P01,BLACK,A,155,155,50,105,0,0,0.3225806451612903,0.6774193548387096,0.0,50,2.5,20.0
P01_BLACK_A_take_0008,P01,BLACK,A,159,159,52,107,0,0,0.3270440251572327,0.6729559748427673,0.0,52,2.6,20.0
P01_BLACK_A_take_0009,P01,BLACK,A,154,154,53,101,0,0,0.34415584415584416,0.6558441558441559,0.0,53,2.65,20.0
P01_BLACK_A_take_0010,P01,BLACK,A,155,155,48,107,0,0,0.3096774193548387,0.6903225806451613,0.0,48,2.4,20.0
P01_BLACK_B_take_0001,P01,BLACK,B,155,155,50,105,0,0,0.3225806451612903,0.6774193548387096,0.0,50,2.5,20.0
P01_BLACK_B_take_0002,P01,BLACK,B,155,155,52,103,0,0,0.33548387096774196,0.6645161290322581,0.0,52,2.6,20.0
P01_BLACK_B_take_0003,P01,BLACK,B,155,155,51,104,0,0,0.32903225806451614,0.6709677419354839,0.0,51,2.55,20.0
P01_BLACK_B_take_0004,P01,BLACK,B,154,154,50,104,0,0,0.3246753246753247,0.6753246753246753,0.0,50,2.5,20.0
P01_BLACK_B_take_0005,P01,BLACK,B,156,156,46,110,0,0,0.2948717948717949,0.7051282051282052,0.0,46,2.3,20.0
P01_BLACK_B_take_0006,P01,BLACK,B,155,155,50,105,0,0,0.3225806451612903,0.6774193548387096,0.0,50,2.5,20.0
P01_BLACK_B_take_0007,P01,BLACK,B,154,154,55,99,0,0,0.35714285714285715,0.6428571428571429,0.0,55,2.75,20.0
P01_BLACK_B_take_0008,P01,BLACK,B,154,154,49,105,0,0,0.3181818181818182,0.6818181818181818,0.0,49,2.45,20.0
P01_BLACK_B_take_0009,P01,BLACK,B,155,155,48,107,0,0,0.3096774193548387,0.6903225806451613,0.0,48,2.4,20.0
