take_id,frame_count,annotation_override_frames,detector_evaluated_frames,detector_hand_present_frames,detector_hand_missing_frames,unannotated_frames,reference_error_frames,detector_elapsed_ms,elapsed_wall_time_s,worker_pid
P01_BLACK_A_take_0001,157,49,108,108,0,0,0,3595.599099998708,3.856914799999686,13740
P01_BLACK_A_take_0002,156,54,102,102,0,0,0,3430.28669999876,3.683385300000282,5692
P01_BLACK_A_take_0003,161,55,106,106,0,0,0,3439.5737999961966,3.7150047000000086,24320
P01_BLACK_A_take_0004,155,49,106,106,0,0,0,3595.226599999478,3.8771256999998513,22812
P01_BLACK_A_take_0005,155,50,105,105,0,0,0,3599.0030999978444,3.856866099999934,26504
P01_BLACK_A_take_0006,160,56,104,104,0,0,0,3564.578100002109,3.8137469000002966,23252
P01_BLACK_A_take_0007,155,50,105,105,0,0,0,3548.5591000001477,3.8126640000000407,23684
P01_BLACK_A_take_0008,159,52,107,107,0,0,0,3627.2356999970725,3.891913100000238,23020
P01_BLACK_A_take_0009,154,53,101,101,0,0,0,3499.149399998714,3.739301399999931,24320
P01_BLACK_A_take_0010,155,48,107,107,0,0,0,3606.99349999868,3.870047500000055,13740
P01_BLACK_B_take_0001,155,50,105,105,0,0,0,3513.473199998316,3.769875299999967,23020
P01_BLACK_B_take_0002,155,52,103,103,0,0,0,3527.6998000022104,3.7880027000001064,22812
P01_BLACK_B_take_0003,155,51,104,104,0,0,0,3551.8304999973225,3.8009905000003528,26504
P01_BLACK_B_take_0004,154,50,104,104,0,0,0,3520.0433000036355,3.760644299999967,16028
P01_BLACK_B_take_0005,156,46,110,110,0,0,0,3677.2868000007293,3.9594605000002048,18664
P01_BLACK_B_take_0006,155,50,105,105,0,0,0,3502.8992999991715,3.7693317999996907,23684
P01_BLACK_B_take_0007,154,55,99,99,0,0,0,3415.625699999964,3.63476350000019,19472
P01_BLACK_B_take_0008,154,49,105,105,0,0,0,3468.8181000028635,3.730133200000182,25208
P01_BLACK_B_take_0009,155,48,107,107,0,0,0,3554.9416999988352,3.8303955999999744,13740
P01_BLACK_B_take_0010,153,48,105,105,0,0,0,3619.4140000006882,3.757497500000227,26520
P01_BLACK_C_take_0001,156,50,106,106,0,0,0,3508.8149999983216,3.7708746000002975,30392
P01_BLACK_C_take_0002,155,51,104,104,0,0,0,3528.6974999999074,3.792035599999963,23020
P01_BLACK_C_take_0003,159,51,108,108,0,0,0,3600.4473999992115,3.8698828999999932,5692
